tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"Final day of #MFGTour19 for @ShopfloorNAM in Arizona with visits to @PingTour, @FluorCorp, @intel, and @fourpeaksbrew!. Enjoy your visit meeting the innovative manufacturers who make Arizona strong!",1101238612195192833,2019-02-28,21:51:59,repandybiggsaz,0,0,9,2019-02-28 21:51:59
"In introducing the resolution to recognize our national debt as a threat to our national security, we are trying to elevate the discourse of this issue. Our growing debt is a crisis, & it must be addressed immediately. We can't afford to continue to kick this down the road. pic.twitter.com/1UuuJW91TD",1101233330064891904,2019-02-28,21:31:00,repandybiggsaz,41,51,235,2019-02-28 21:31:00
".@POTUS @realDonaldTrump's pro-growth policies are working and benefiting countless individuals, families, and businesses around the nation. I encourage my Democratic colleagues to join Republicans in sustaining this economic momentum.",1101182204888133638,2019-02-28,18:07:51,repandybiggsaz,4,17,47,2019-02-28 18:07:51
"➤ ""...(economic) growth could be stronger for longer""
➤ ""report shows how GOP-backed tax cuts may have continued to aid growth...""
➤ ""2.6 percent annualized rate of gains in GDP from Oct to Dec compared w/ the 2.2% median estimate of economists"" https://www.bloomberg.com/news/articles/2019-02-28/u-s-gdp-grows-above-forecast-2-6-as-business-spending-picks-up …",1101182059081580549,2019-02-28,18:07:16,repandybiggsaz,2,18,40,2019-02-28 18:07:16
NEXT: I'm about to join @TeamCavuto to talk about my resolution to recognize the national debt as a threat to national security. Watch on @FoxBusiness. #AZ05 pic.twitter.com/aIvhFs9MVO,1101169352706084864,2019-02-28,17:16:47,repandybiggsaz,9,6,12,2019-02-28 17:16:47
"Thank you, @RepMattGaetz. https://twitter.com/RepMattGaetz/status/1101146554369478656 …",1101146746976124928,2019-02-28,15:46:57,repandybiggsaz,107,184,883,2019-02-28 15:46:57
"Did you know that we have bi-monthly mobile office hours at the Mesa Veterans Resource Center to serve our veterans? Earlier this week, we met with several veterans at this location to discuss their needs. Thank you to those who have served. Our office is here for you. #AZ05 pic.twitter.com/wVZcXfRUfm",1101125821920628737,2019-02-28,14:23:48,repandybiggsaz,6,5,13,2019-02-28 14:23:48
COMING UP: I'm joining @broomheadshow to talk about the Arizona-U.S. House delegation's efforts to improve services for our veterans + my resolution to recognize the national debt as a threat to national security. Listen on @KFYI or  https://ihr.fm/2ujYPi4 . #AZ05,1101123311398989825,2019-02-28,14:13:49,repandybiggsaz,4,7,17,2019-02-28 14:13:49
"Democrats know that nothing Cohen says can be believed, but they will believe him anyway. They understand that Cohen will say anything to ameliorate the consequences of his lifetime of lies – including slandering @POTUS
@realDonaldTrump. 

MORE ➠ https://fxn.ws/2T6p9gQ ",1100868118178615298,2019-02-27,21:19:47,repandybiggsaz,111,67,243,2019-02-27 21:19:47
"I had the honor of meeting with an AZ delegation of the @AmericanLegion. We had a good discussion, talking about my recently introduced Phoenix VA Congressional Oversight Act and other veterans issues. I am grateful for their service - and for the service of every #AZ05 veteran. pic.twitter.com/uk6NhmsDMm",1100818494726332416,2019-02-27,18:02:36,repandybiggsaz,3,10,32,2019-02-27 18:02:36
